case_id,oracle_split,sample_path,original_ligand_sdf,failed_ligand_sdf,visual_qc_status,notes
case_000070,invalid_conformer,samples/case_000070.pkl,ligands/case_000070_original.sdf,ligands/case_000070_failed.sdf,sampled_visual_qc_passed_with_minor_caveats,auto-selected for visual QC; visual QC passed with minor caveats
case_000093,invalid_conformer,samples/case_000093.pkl,ligands/case_000093_original.sdf,ligands/case_000093_failed.sdf,sampled_visual_qc_passed_with_minor_caveats,auto-selected for visual QC; visual QC passed with minor caveats
case_000001,near_miss_contact,samples/case_000001.pkl,ligands/case_000001_original.sdf,ligands/case_000001_failed.sdf,sampled_visual_qc_passed_with_minor_caveats,auto-selected for visual QC; visual QC passed with minor caveats
case_000002,near_miss_contact,samples/case_000002.pkl,ligands/case_000002_original.sdf,ligands/case_000002_failed.sdf,sampled_visual_qc_passed_with_minor_caveats,auto-selected for visual QC; visual QC passed with minor caveats
case_000003,near_miss_contact,samples/case_000003.pkl,ligands/case_000003_original.sdf,ligands/case_000003_failed.sdf,sampled_visual_qc_passed_with_minor_caveats,auto-selected for visual QC; visual QC passed with minor caveats
case_000004,near_miss_contact,samples/case_000004.pkl,ligands/case_000004_original.sdf,ligands/case_000004_failed.sdf,sampled_visual_qc_passed_with_minor_caveats,auto-selected for visual QC; visual QC passed with minor caveats
case_000005,near_miss_contact,samples/case_000005.pkl,ligands/case_000005_original.sdf,ligands/case_000005_failed.sdf,sampled_visual_qc_passed_with_minor_caveats,auto-selected for visual QC; visual QC passed with minor caveats
case_000996,supported_single_rgroup,samples/case_000996.pkl,ligands/case_000996_original.sdf,ligands/case_000996_failed.sdf,sampled_visual_qc_passed_with_minor_caveats,torsion_perturb coverage for visual QC; visual QC passed with minor caveats
case_000818,supported_single_rgroup,samples/case_000818.pkl,ligands/case_000818_original.sdf,ligands/case_000818_failed.sdf,sampled_visual_qc_passed_with_minor_caveats,torsion_perturb coverage for visual QC; visual QC passed with minor caveats
case_000834,supported_single_rgroup,samples/case_000834.pkl,ligands/case_000834_original.sdf,ligands/case_000834_failed.sdf,sampled_visual_qc_passed_with_minor_caveats,torsion_perturb coverage for visual QC; visual QC passed with minor caveats
case_000852,supported_single_rgroup,samples/case_000852.pkl,ligands/case_000852_original.sdf,ligands/case_000852_failed.sdf,sampled_visual_qc_passed_with_minor_caveats,torsion_perturb coverage for visual QC; visual QC passed with minor caveats
case_001266,supported_single_rgroup,samples/case_001266.pkl,ligands/case_001266_original.sdf,ligands/case_001266_failed.sdf,sampled_visual_qc_passed_with_minor_caveats,torsion_perturb coverage for visual QC; visual QC passed with minor caveats
case_000980,supported_single_rgroup,samples/case_000980.pkl,ligands/case_000980_original.sdf,ligands/case_000980_failed.sdf,sampled_visual_qc_passed_with_minor_caveats,torsion_perturb coverage for visual QC; visual QC passed with minor caveats
case_002562,supported_single_rgroup,samples/case_002562.pkl,ligands/case_002562_original.sdf,ligands/case_002562_failed.sdf,sampled_visual_qc_passed_with_minor_caveats,torsion_perturb coverage for visual QC; visual QC passed with minor caveats
