case_id,oracle_split,injection_mode,target_rgroup,overlay_ok,clash_location_ok,scaffold_stable,non_target_stable,ligand_geometry_ok,oracle_split_reasonable,manual_qc_status,manual_notes
case_000005,near_miss_contact,easy_rotation,R4,pass,pass_near_miss_no_severe_pair,pass,pass,pass,pass,sampled_visual_qc_passed_with_minor_caveats,near-miss label visually reasonable; no severe VDW pair available
case_000048,supported_single_rgroup,directed_clash,R4,pass,pass,pass,pass,pass,pass,sampled_visual_qc_passed_with_minor_caveats,supported sample visually consistent with local single target R-group clash
case_000102,supported_single_rgroup,directed_clash,R8,pass,pass,pass,pass,pass,pass,sampled_visual_qc_passed_with_minor_caveats,supported sample visually consistent with local single target R-group clash
case_000120,supported_single_rgroup,directed_clash,R4,pass,pass,pass,pass,pass,pass,sampled_visual_qc_passed_with_minor_caveats,supported sample visually consistent with local single target R-group clash
case_000210,supported_single_rgroup,directed_clash,R8,pass,pass,pass,pass,pass,pass,sampled_visual_qc_passed_with_minor_caveats,supported sample visually consistent with local single target R-group clash
case_000041,supported_single_rgroup,easy_rotation,R4,pass,pass,pass,pass,pass,pass,sampled_visual_qc_passed_with_minor_caveats,supported sample visually consistent with local single target R-group clash
case_000059,supported_single_rgroup,easy_rotation,R8,pass,pass,pass,pass,pass,pass,sampled_visual_qc_passed_with_minor_caveats,supported sample visually consistent with local single target R-group clash
case_000095,supported_single_rgroup,easy_rotation,R8,pass,pass,pass,pass,pass,pass,sampled_visual_qc_passed_with_minor_caveats,supported sample visually consistent with local single target R-group clash
case_000109,supported_single_rgroup,easy_rotation,R4,pass,pass,pass,pass,pass,pass,sampled_visual_qc_passed_with_minor_caveats,supported sample visually consistent with local single target R-group clash
case_000163,supported_single_rgroup,easy_rotation,R8,pass,pass,pass,pass,pass,pass,sampled_visual_qc_passed_with_minor_caveats,supported sample visually consistent with local single target R-group clash
case_000202,supported_single_rgroup,easy_rotation,R8,pass,pass,pass,pass,pass,pass,sampled_visual_qc_passed_with_minor_caveats,supported sample visually consistent with local single target R-group clash
case_000818,supported_single_rgroup,torsion_perturb,R2,pass,pass,pass,pass,pass,pass,sampled_visual_qc_passed_with_minor_caveats,supported sample visually consistent with local single target R-group clash
case_000834,supported_single_rgroup,torsion_perturb,R3,pass,pass,pass,pass,pass,pass,sampled_visual_qc_passed_with_minor_caveats,supported sample visually consistent with local single target R-group clash
case_000852,supported_single_rgroup,torsion_perturb,R4,pass,pass,pass,pass,pass,pass,sampled_visual_qc_passed_with_minor_caveats,supported sample visually consistent with local single target R-group clash
case_000980,supported_single_rgroup,torsion_perturb,R6,pass,pass,pass,pass,pass,pass,sampled_visual_qc_passed_with_minor_caveats,supported sample visually consistent with local single target R-group clash
case_000996,supported_single_rgroup,torsion_perturb,R1,pass,pass,pass,pass,pass,pass,sampled_visual_qc_passed_with_minor_caveats,supported sample visually consistent with local single target R-group clash
case_001266,supported_single_rgroup,torsion_perturb,R5,pass,pass,pass,pass,pass,pass,sampled_visual_qc_passed_with_minor_caveats,supported sample visually consistent with local single target R-group clash
case_002562,supported_single_rgroup,torsion_perturb,R7,pass,pass,pass,pass,pass,pass,sampled_visual_qc_passed_with_minor_caveats,supported sample visually consistent with local single target R-group clash; stronger supported torsion clash; still local to target R-group R7
